args: Namespace(k=400, delta=400, beta=200000, mu=100000, l=1, tkc=50, year='2014', month='11', n_users=370, user_id=None, seed=None, sample_size=40000, filename='transformed_date_2014-11-eletricity_consumption_sample_164102.csv', display=False, disable_dp=False, phi=None, big_beta=None, history=False)
Execution_Time:  0:40:39.768857
         8841031244 function calls (8808911488 primitive calls) in 2439.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40002    0.051    0.000    0.099    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:2317(maybe_coerce_values)
    40000    0.047    0.000    0.561    0.000 /home/service/castle_analysis/castle-performance-analysis/src/castle.py:373(suppress_tuple)
    80006    0.045    0.000    0.045    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:647(_get_deprecated_option)
    40003    0.044    0.000    0.275    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:145(_get_option)
    40003    0.042    0.000    0.145    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:760(_set_axis)
        1    0.041    0.041 2439.772 2439.772 /home/service/castle_analysis/castle-performance-analysis/src/main.py:55(main)
   160016    0.035    0.000    0.052    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:909(__len__)
    40004    0.032    0.000    0.048    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:2346(get_block_type)
    40003    0.031    0.000    0.092    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1562(validate_all_hashable)
    80064    0.031    0.000    0.072    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
    80064    0.029    0.000    0.042    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/generic.py:37(_check)
    40003    0.029    0.000    0.029    0.000 /usr/lib/python3/dist-packages/pandas/core/flags.py:89(allows_duplicate_labels)
    80002    0.028    0.000    0.028    0.000 {method 'remove' of 'list' objects}
    40012    0.028    0.000    0.052    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:695(_sanitize_ndim)
    80011    0.027    0.000    0.041    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/inference.py:334(is_hashable)
    40003    0.027    0.000    0.302    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:271(__call__)
    80000    0.026    0.000    0.026    0.000 {method 'remove' of 'set' objects}
    40005    0.026    0.000    0.030    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:485(ensure_wrapped_if_datetimelike)
    40012    0.026    0.000    0.033    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:734(_sanitize_str_dtypes)
40014/40013    0.024    0.000    0.061    0.000 {built-in method builtins.all}
    40002    0.023    0.000    0.023    0.000 /usr/lib/python3/dist-packages/pandas/_config/__init__.py:33(using_copy_on_write)
    40000    0.023    0.000    0.357    0.000 /home/service/castle_analysis/castle-performance-analysis/src/item.py:16(__init__)
    80010    0.022    0.000    0.031    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:7521(ensure_index)
    40012    0.021    0.000    0.026    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:420(extract_array)
    40006    0.021    0.000    0.021    0.000 /usr/lib/python3/dist-packages/pandas/core/flags.py:53(__init__)
    40007    0.021    0.000    0.044    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:7616(maybe_extract_name)
    40003    0.020    0.000    0.020    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:615(_select_options)
    80006    0.020    0.000    0.037    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1581(<genexpr>)
    40003    0.020    0.000    0.065    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/base.py:73(_validate_set_axis)
    40003    0.019    0.000    0.084    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:225(set_axis)
    40003    0.019    0.000    0.051    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:686(_warn_if_deprecated)
    40009    0.019    0.000    0.019    0.000 {method 'split' of 'str' objects}
    80359    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
    40009    0.016    0.000    0.058    0.000 /usr/lib/python3/dist-packages/pandas/core/common.py:556(require_length_match)
    40000    0.014    0.000    0.014    0.000 {method 'remove' of 'collections.deque' objects}
    80012    0.014    0.000    0.014    0.000 {built-in method builtins.hash}
    40012    0.013    0.000    0.018    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:754(_maybe_repeat)
    80021    0.013    0.000    0.013    0.000 {built-in method builtins.issubclass}
    80798    0.012    0.000    0.012    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2974(_prod_dispatcher)
    80006    0.012    0.000    0.012    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:393(flags)
    40001    0.011    0.000    0.011    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/range.py:464(__iter__)
    40003    0.011    0.000    0.023    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:674(_translate_key)
    40000    0.010    0.000    0.010    0.000 {method 'append' of 'collections.deque' objects}
    40003    0.010    0.000    0.010    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1799(__init__)
    40003    0.007    0.000    0.007    0.000 /usr/lib/python3/dist-packages/pandas/core/flags.py:57(allows_duplicate_labels)
    40002    0.006    0.000    0.006    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1902(_block)
    40003    0.005    0.000    0.005    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:358(attrs)
    40028    0.004    0.000    0.004    0.000 /usr/lib/python3.12/typing.py:2154(cast)
    40004    0.004    0.000    0.004    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1381(_clear_item_cache)
        2    0.003    0.002    0.003    0.002 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:2194(_stack_arrays)
        7    0.002    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/concat.py:52(concat_compat)
        1    0.001    0.001    0.001    0.001 /usr/lib/python3/dist-packages/pandas/io/parsers/c_parser_wrapper.py:60(__init__)
        1    0.001    0.001    0.001    0.001 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1669(_interleave)
       31    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
        1    0.001    0.001    0.076    0.076 /usr/lib/python3/dist-packages/pandas/io/parsers/readers.py:574(_read)
        2    0.000    0.000    0.000    0.000 {built-in method _io.open}
       28    0.000    0.000    0.000    0.000 {built-in method posix.stat}
     51/9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       24    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       19    0.000    0.000    0.001    0.000 /usr/lib/python3.12/argparse.py:1458(add_argument)
     15/5    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.12/gettext.py:479(find)
      8/6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
       53    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
        1    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:298(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/gettext.py:224(_expand_lang)
       76    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.12/argparse.py:173(__init__)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.12/shutil.py:1461(get_terminal_size)
       50    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
       13    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.12/argparse.py:1376(__init__)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/pandas/io/parsers/c_parser_wrapper.py:355(_concatenate_chunks)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:478(__new__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/argparse.py:1952(_parse_known_args)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.12/argparse.py:1599(_get_optional_kwargs)
      7/5    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:5300(__contains__)
      171    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.print}
