,minaddress,maxaddress,minweek,maxweek,minweekday,maxweekday,mintime,maxtime,tuple_count,cluster_label,consumption diversity,PID diversity,consumption_range,consumption_difference,consumption_difference_wo_zero,proximity_ratio,address_range,week_range,weekday_range,time_range,il_address,il_week,il_weekday,il_time
21,10551100122.0,10554110751.0,46.0,46.0,4.0,4.0,23.0,33.0,483,21,454,161,20708.3333333333,42.963347164591916,43.316202003814006,0.09069008825962648,3010629.0,0.0,0.0,10.0,0.3758149798762541,0,0.0,0.10526315789473684
22,10551100122.0,10555107380.0,46.0,46.0,1.0,1.0,9.0,19.0,120,22,118,113,13077.892305570896,109.89825466866299,109.89825466866299,0.09229166666666666,4007258.0,0.0,0.0,10.0,0.5002235694364727,0,0.0,0.10526315789473684
23,10551100122.0,10555107843.0,46.0,46.0,1.0,1.0,2.0,7.0,150,23,144,100,8106.856993190152,54.40843619590706,54.40843619590706,0.10600000000000001,4007721.0,0.0,0.0,5.0,0.5002813654437798,0,0.0,0.05263157894736842
24,10551100122.0,10555108737.0,46.0,46.0,3.0,3.0,24.0,33.0,125,24,124,125,1990.78341013825,16.054704920469757,16.285733199265707,0.086016,4008615.0,0.0,0.0,9.0,0.5003929629179319,0,0.0,0.09473684210526316
25,10551100122.0,10555110971.0,46.0,46.0,3.0,3.0,24.0,33.0,510,25,490,201,20083.3333333333,39.456450556646956,39.84164747326082,0.0817454825067282,4010849.0,0.0,0.0,9.0,0.5006718317739229,0,0.0,0.09473684210526316
26,10551100122.0,10555110971.0,46.0,46.0,3.0,3.0,73.0,85.0,385,26,356,124,21083.3333333333,54.9045138888888,55.474064625850254,0.08825096980941137,4010849.0,0.0,0.0,12.0,0.5006718317739229,0,0.0,0.12631578947368421
27,10551100122.0,10555111039.0,46.0,46.0,1.0,1.0,8.0,19.0,503,27,445,205,12270.2702702703,24.442769462689842,24.534254526920904,0.09196906038915612,4010917.0,0.0,0.0,11.0,0.5006803201724044,0,0.0,0.11578947368421053
28,10551100122.0,10555111039.0,46.0,46.0,1.0,1.0,54.0,70.0,730,28,658,207,19791.6666666667,27.149062642889856,27.639176728539724,0.08311315443798087,4010917.0,0.0,0.0,16.0,0.5006803201724044,0,0.0,0.16842105263157894
29,10551100122.0,10555111039.0,46.0,46.0,1.0,1.0,71.0,88.0,574,29,519,195,22162.1621621622,38.67742087637382,39.35874491412433,0.08726584030399787,4010917.0,0.0,0.0,17.0,0.5006803201724044,0,0.0,0.17894736842105263
30,10551100122.0,10555111039.0,46.0,46.0,2.0,2.0,18.0,28.0,304,30,293,202,19834.69483102795,65.46103904629686,65.46103904629686,0.0867382271468144,4010917.0,0.0,0.0,10.0,0.5006803201724044,0,0.0,0.10526315789473684
31,10551100122.0,10555111039.0,46.0,46.0,2.0,2.0,77.0,88.0,378,31,358,176,20375.0,54.0450928381963,55.058949255377826,0.08532795834383136,4010917.0,0.0,0.0,11.0,0.5006803201724044,0,0.0,0.11578947368421053
32,10551100122.0,10555111039.0,46.0,46.0,3.0,3.0,2.0,15.0,479,32,426,184,18162.1621621622,37.99615515096694,38.149199906202426,0.09517915281052644,4010917.0,0.0,0.0,13.0,0.5006803201724044,0,0.0,0.1368421052631579
